Name,Rating,Winery,Area,Province,Country,Varietal,Vintage,Style,Wine Type,ID
Rockabilly Red Oliver Twist Cabernet Sauvignon 2016 VQA,84.58128931999998,Oliver Twist,Okanagan Valley,,Canada,Cabernet Sauvignon,2016,,Red,5e94dedc5fd8fd7ae861d99f
Phelan Segur,84.56796948571427,Phelan Segur,Saint-Estephe,,France,"Cabernet Sauvignon, Merlot, Cabernet Franc",2005,,Red,53923c23caf5110200000010
Caymus Cabernet Sauvignon Special Selection 2013,84.55429773333333,Caymus,Napa Valley,California,USA,Cabernet Sauvignon,2013,,Red,5ad77d38128caabb7db026bc
MHFE Oculus 2013,84.54515728,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,"Merlot, Cabernet Sauvignon, Cabernet Franc, Petit Verdot",2013,,Red,5e94df165fd8fd7ae861df11
Segura Viudas Brut Reserva NV,84.46723665,Segura Viudas,Torrelavit,,Spain,"Macabeo, Parellada, Xarelo",nv,Sparkling,White,5e94deec5fd8fd7ae861daed
Vinoscenti Syrah,84.46263106666667,Vinoscenti Vineyards,British Columbia,,Canada,Syrah,2014,,Red,5999fc29a6cdbca221653f87
Bailly Lapierre Cremant de Bourgogne Reserve Brut,84.44725134814816,Bailly Lapierre,Saint-Bris,,France,,nv,Sparkling,White,5e94def55fd8fd7ae861dbd9
19 Crimes The Warden,84.40419288000001,Treasury Wine Estates,South Eastern Australia,,Australia,Red Blend,2015,,Red,5a5e37d7098b6d557a2c7dee
74K Road 13 Merlot & Syrah 2017 VQA,84.38198813333332,Road 13,Okanagan Valley,,Canada,"Merlot, Syrah",2017,,Red,5e94dedd5fd8fd7ae861d9a9
Dow’s Vintage Porto 2016,84.33515728,Dow's Port,Oporto,,Portugal,Port Red Blend,2016,,Red,5c2e5cbe30028bd653486e00
Rapture - Late Harvest Primitivo,84.32508737777778,Ascension Cellars,Central Coast,CA,USA,Primitivo,2012,Dessert,Red,5564efe1b4f0c1030000007b
Vinoscenti Erhenfelser Kerner,84.3157233,Vinoscenti Vineyards,Surrey,British Columbia,Canada,"Ehrenfelser, Kerner",2016,,White,594ec1e163d29c463902350f
Murrieta's Well The Whip,84.27298219999999,Murrieta’s Well,Livermore Valley,California,USA,"Chardonnay, Gewurztraminer, Sauvignon Blanc, Orange Muscat, Pinot Blanc, Semillon, Muscat Canelli",2012,,White,5365139f2a83e90200000002
Intrigue I DO,84.26416462608695,Intrigue Wines,Okanagan Valley,,Canada,,nv,,Rose,5e94def55fd8fd7ae861dbcb
Overland,84.2465409142857,Overland,Sonoma County,CA,USA,Petite Sirah,2011,,Red,5564efe1b4f0c10300000094
Mission Hill Reserve Sauvignon Blanc 2015,84.1965409142857,Mark Anthony Cellars - VQA,Okanagan Valley,British Columbia,Canada,0,2015,,White,5e94df7d5fd8fd7ae861e965
Kim Crawford Sauvignon Blanc 2017,84.18458195294119,Kim Crawford,Marlborough,,New Zealand,Sauvignon Blanc,2017,,White,5e94deee5fd8fd7ae861db19
Heist Shiraz,84.18299029090909,The Heist,South Eastern Australia,,Australia,Syrah,2016,,Red,5e94dee35fd8fd7ae861da3d
Moccagatta Bric Balin Barbaresco 2015,84.13515728,Moccagatta,Piedmont,,Italy,Barbaresco,2015,,Red,5c2e5c5130028bd653486dff
Sartori Ferdi,84.01082662857142,Sartori Di Verona,Veneto,,Italy,Garganega,2013,,White,56db18078564414a288560b1
Borsao Garnacha 2017,83.9479822,Bodegas Borsao S.A.,Zaragoza,,Spain,Grenache,2017,,Red,5e94ded15fd8fd7ae861d85b
Gray Monk Odyssey Rose Brut 2015,83.93870919999999,Gray Monk,Okanagan Valley,,Canada,"Pinot Noir, Pinot Meunier",2015,Sparkling,Rose,5e94def55fd8fd7ae861dbd1
Filare 41,83.93515728,Casadei Toscana,Tuscany,,Italy,Petit Verdot,2010,,Red,53c047352e0a2b0200000002
8th Generation Confidence Frizzante,83.91851245217391,8th Generation,Okanagan Valley,,Canada,"Pinot Noir, Pinot Gris",nv,,Rose,5e94def65fd8fd7ae861dbdb
Kono,83.91263106666666,Kono,Marlborough,,New Zealand,Sauvignon Blanc,2014,,White,552333e1715f2d0300000002
Petit et Bajan Ambrosie,83.8973096,Petit et Bajan,Champagne,,France,,nv,Sparkling,White,5e94dece5fd8fd7ae861d801
Ontanon Rioja Crianza 2016,83.88939805714287,Ontanon,Rioja,,Spain,Tempranillo,2016,,Red,5e51c2546569aa4b0468aa9b
Vinoscenti Cabernet Sauvignon 2014,83.88303145599998,Vinoscenti Vineyards,Surrey,British Columbia,Canada,Cabernet Sauvignon,2014,,Red,594eca5463d29c4639023554
Chateau de Beaucastel Chateauneuf-du-Pape,83.87515728,Chateau de Beaucastel,Southern Rhone,Rhone,France,Red Rhone Blend,2015,,Red,5ad77d38128caabb7db02720
Jean-Claude Boisset Bourgogne Pinot Noir 2017,83.87432740000001,Jean-Claude Boisset,Nuits-Saint-Georges,,France,Pinot Noir,2017,,Red,5e94ded55fd8fd7ae861d8e3
Gustav Adolf Schmitt Blue Label Riesling Trocken,83.86026301818181,Gustav Adolf Schmitt,Reinhessen,,Germany,Riesling,2016,,White,5e94dee35fd8fd7ae861da41
Amado Sur,83.83763106666665,Trivento,,,Argentina,Malbec Bonarda Syrah,2012,,Red,53e1787b95879f020000000f
Philip Togni Cabernet Sauvignon 2015,83.83515728,Philip Togni Vineyard,Napa Valley,,USA,Caber,2015,,Red,5c2e5d3630028bd653486e01
Chateau de Luc 'Les Jumelles' Organic Red 2015,83.82505242666666,Chateau de Luc,Corbieres,,France,Red Blend,2015,,Red,5e94deef5fd8fd7ae861db2b
Masi Campofiorin,83.81809924444444,Masi,Verona,,Italy,,2014,,Red,5e94dede5fd8fd7ae861d9d1
Louis Martini Sonoma County,83.8157233,Louis M Martini Winery,Sonoma County,,USA,Cabernet Sauvignon,2015,,Red,5e94e59b647e147bcfa8d8dd
